"","actual_cause","effect_valence","mechanism","response","bias","stat_norm"
"1","red","pleasant","conjunctive",2,"red","Statistically normal"
"2","red","pleasant","conjunctive",5,"blue","Statistically abnormal"
"3","red","pleasant","conjunctive",2,"red","Statistically normal"
"4","blue","pleasant","conjunctive",4,"blue","Statistically normal"
"5","blue","pleasant","disjunctive",1,"red","Statistically abnormal"
"6","red","pleasant","conjunctive",2,"blue","Statistically abnormal"
"7","red","pleasant","disjunctive",1,"red","Statistically normal"
"8","red","pleasant","conjunctive",2,"blue","Statistically abnormal"
"9","red","pleasant","conjunctive",4,"blue","Statistically abnormal"
"10","red","pleasant","conjunctive",1,"red","Statistically normal"
"11","red","pleasant","conjunctive",5,"red","Statistically normal"
"12","blue","pleasant","conjunctive",4,"blue","Statistically normal"
"13","red","pleasant","disjunctive",4,"blue","Statistically abnormal"
"14","red","pleasant","conjunctive",1,"red","Statistically normal"
"15","red","pleasant","conjunctive",1,"blue","Statistically abnormal"
"16","red","pleasant","disjunctive",1,"blue","Statistically abnormal"
"17","red","pleasant","disjunctive",1,"red","Statistically normal"
"18","red","pleasant","conjunctive",2,"blue","Statistically abnormal"
"19","blue","pleasant","conjunctive",7,"red","Statistically abnormal"
"20","red","pleasant","conjunctive",2,"blue","Statistically abnormal"
"21","red","pleasant","disjunctive",1,"blue","Statistically abnormal"
"22","red","pleasant","disjunctive",6,"blue","Statistically abnormal"
"23","red","pleasant","conjunctive",7,"blue","Statistically abnormal"
"24","blue","pleasant","disjunctive",2,"blue","Statistically normal"
