"","Iteration","Chain","Parameter","value"
"1",1,1,"alpha",0.0483171642212326
"2",2,1,"alpha",0.0483171642212326
"3",3,1,"alpha",0.0483171642212326
"4",4,1,"alpha",0.0483171642212326
"5",5,1,"alpha",0.0483171642212326
"6",6,1,"alpha",0.0483171642212326
"7",7,1,"alpha",0.0483171642212326
"8",8,1,"alpha",0.0483171642212326
"9",9,1,"alpha",0.0483171642212326
"10",10,1,"alpha",0.0483171642212326
"11",11,1,"alpha",0.0483171642212326
"12",12,1,"alpha",0.0483171642212326
"13",13,1,"alpha",0.0483171642212326
"14",14,1,"alpha",0.0483171642212326
"15",15,1,"alpha",0.0483171642212326
"16",16,1,"alpha",0.0483171642212326
"17",17,1,"alpha",0.0483171642212326
"18",18,1,"alpha",0.0483171642212326
"19",19,1,"alpha",0.0483171642212326
"20",20,1,"alpha",0.0483171642212326
"21",21,1,"alpha",0.0483171642212326
"22",22,1,"alpha",0.0483171642212326
"23",23,1,"alpha",0.0483171642212326
"24",24,1,"alpha",0.0483171642212326
"25",25,1,"alpha",0.0483171642212326
"26",26,1,"alpha",0.0483171642212326
"27",27,1,"alpha",0.0483171642212326
"28",28,1,"alpha",0.0483171642212326
"29",29,1,"alpha",0.0483171642212326
"30",30,1,"alpha",0.0483171642212326
"31",31,1,"alpha",0.0483171642212326
"32",32,1,"alpha",0.0483171642212326
"33",33,1,"alpha",0.0483171642212326
"34",34,1,"alpha",0.0518489673179201
"35",35,1,"alpha",0.0518489673179201
"36",36,1,"alpha",0.0518489673179201
"37",37,1,"alpha",0.0518489673179201
"38",38,1,"alpha",0.0518489673179201
"39",39,1,"alpha",0.0518489673179201
"40",40,1,"alpha",0.0518489673179201
"41",41,1,"alpha",0.0518489673179201
"42",42,1,"alpha",0.0518489673179201
"43",43,1,"alpha",0.0518489673179201
"44",44,1,"alpha",0.0518489673179201
"45",45,1,"alpha",0.0518489673179201
"46",46,1,"alpha",0.0518489673179201
"47",47,1,"alpha",0.0518489673179201
"48",48,1,"alpha",0.0518489673179201
"49",49,1,"alpha",0.0518489673179201
"50",50,1,"alpha",0.0518489673179201
"51",51,1,"alpha",0.0518489673179201
"52",52,1,"alpha",0.0518489673179201
"53",53,1,"alpha",0.0518489673179201
"54",54,1,"alpha",0.0518489673179201
"55",55,1,"alpha",0.0518489673179201
"56",56,1,"alpha",0.0518489673179201
"57",57,1,"alpha",0.0518489673179201
"58",58,1,"alpha",0.0518489673179201
"59",59,1,"alpha",0.0518489673179201
"60",60,1,"alpha",0.0518489673179201
"61",61,1,"alpha",0.0518489673179201
"62",62,1,"alpha",0.0518489673179201
"63",63,1,"alpha",0.0518489673179201
"64",64,1,"alpha",0.0518489673179201
"65",65,1,"alpha",0.0518489673179201
"66",66,1,"alpha",0.0518489673179201
"67",67,1,"alpha",0.0518489673179201
"68",68,1,"alpha",0.0518489673179201
"69",69,1,"alpha",0.0518489673179201
"70",70,1,"alpha",0.0518489673179201
"71",71,1,"alpha",0.0518489673179201
"72",72,1,"alpha",0.0518489673179201
"73",73,1,"alpha",0.0518489673179201
"74",74,1,"alpha",0.0518489673179201
"75",75,1,"alpha",0.0518489673179201
"76",76,1,"alpha",0.0518489673179201
"77",77,1,"alpha",0.0518489673179201
"78",78,1,"alpha",0.0518489673179201
"79",79,1,"alpha",0.0518489673179201
"80",80,1,"alpha",0.0518489673179201
"81",81,1,"alpha",0.0518489673179201
"82",82,1,"alpha",0.0518489673179201
"83",83,1,"alpha",0.0518489673179201
"84",84,1,"alpha",0.0518489673179201
"85",85,1,"alpha",0.0518489673179201
"86",86,1,"alpha",0.0518489673179201
"87",87,1,"alpha",0.0518489673179201
"88",88,1,"alpha",0.0518489673179201
"89",89,1,"alpha",0.0518489673179201
"90",90,1,"alpha",0.0518489673179201
"91",91,1,"alpha",0.0518489673179201
"92",92,1,"alpha",0.0518489673179201
"93",93,1,"alpha",0.0518489673179201
"94",94,1,"alpha",0.0518489673179201
"95",95,1,"alpha",0.0518489673179201
"96",96,1,"alpha",0.0518489673179201
"97",97,1,"alpha",0.0518489673179201
"98",98,1,"alpha",0.0518489673179201
"99",99,1,"alpha",0.0518489673179201
"100",100,1,"alpha",0.0518489673179201
"101",101,1,"alpha",0.0518489673179201
"102",102,1,"alpha",0.0518489673179201
"103",103,1,"alpha",0.0518489673179201
"104",104,1,"alpha",0.0518489673179201
"105",105,1,"alpha",0.0518489673179201
"106",106,1,"alpha",0.0518489673179201
"107",107,1,"alpha",0.0518489673179201
"108",108,1,"alpha",0.0518489673179201
"109",109,1,"alpha",0.0518489673179201
"110",110,1,"alpha",0.0518489673179201
"111",111,1,"alpha",0.0518489673179201
"112",112,1,"alpha",0.0518489673179201
"113",113,1,"alpha",0.0518489673179201
"114",114,1,"alpha",0.0518489673179201
"115",115,1,"alpha",0.0518489673179201
"116",116,1,"alpha",0.0518489673179201
"117",117,1,"alpha",0.0518489673179201
"118",118,1,"alpha",0.0518489673179201
"119",119,1,"alpha",0.0518489673179201
