"","Iteration","Chain","Parameter","value"
"1",1,1,"alpha",0.437297660228975
"2",2,1,"alpha",0.437297660228975
"3",3,1,"alpha",0.437297660228975
"4",4,1,"alpha",0.437297660228975
"5",5,1,"alpha",0.437297660228975
"6",6,1,"alpha",0.437297660228975
"7",7,1,"alpha",0.437297660228975
"8",8,1,"alpha",0.437297660228975
"9",9,1,"alpha",0.437297660228975
"10",10,1,"alpha",0.437297660228975
"11",11,1,"alpha",0.437297660228975
"12",12,1,"alpha",0.00575866981428952
"13",13,1,"alpha",0.00575866981428952
"14",14,1,"alpha",0.00575866981428952
"15",15,1,"alpha",0.00575866981428952
"16",16,1,"alpha",0.00575866981428952
"17",17,1,"alpha",0.00575866981428952
"18",18,1,"alpha",0.00575866981428952
"19",19,1,"alpha",0.00575866981428952
"20",20,1,"alpha",0.00575866981428952
"21",21,1,"alpha",0.00575866981428952
"22",22,1,"alpha",0.00575866981428952
"23",23,1,"alpha",0.00575866981428952
"24",24,1,"alpha",0.00575866981428952
"25",25,1,"alpha",0.00575866981428952
"26",26,1,"alpha",0.00575866981428952
"27",27,1,"alpha",0.00575866981428952
"28",28,1,"alpha",0.00575866981428952
"29",29,1,"alpha",0.00575866981428952
"30",30,1,"alpha",0.00575866981428952
"31",31,1,"alpha",0.00575866981428952
"32",32,1,"alpha",0.00575866981428952
"33",33,1,"alpha",0.00575866981428952
"34",34,1,"alpha",0.00575866981428952
"35",35,1,"alpha",0.00575866981428952
"36",36,1,"alpha",0.00575866981428952
"37",37,1,"alpha",0.00575866981428952
"38",38,1,"alpha",0.00575866981428952
"39",39,1,"alpha",0.00575866981428952
"40",40,1,"alpha",0.00575866981428952
"41",41,1,"alpha",0.00575866981428952
"42",42,1,"alpha",0.00575866981428952
"43",43,1,"alpha",0.00575866981428952
"44",44,1,"alpha",0.00575866981428952
"45",45,1,"alpha",0.00575866981428952
"46",46,1,"alpha",0.00575866981428952
"47",47,1,"alpha",0.00575866981428952
"48",48,1,"alpha",0.00575866981428952
"49",49,1,"alpha",0.00575866981428952
"50",50,1,"alpha",0.00575866981428952
"51",51,1,"alpha",0.00575866981428952
"52",52,1,"alpha",0.00575866981428952
"53",53,1,"alpha",0.00575866981428952
"54",54,1,"alpha",0.00575866981428952
"55",55,1,"alpha",0.241004812195165
"56",56,1,"alpha",0.241004812195165
"57",57,1,"alpha",0.241004812195165
"58",58,1,"alpha",0.241004812195165
"59",59,1,"alpha",0.241004812195165
"60",60,1,"alpha",0.241004812195165
"61",61,1,"alpha",0.241004812195165
"62",62,1,"alpha",0.241004812195165
"63",63,1,"alpha",0.241004812195165
"64",64,1,"alpha",0.241004812195165
"65",65,1,"alpha",0.241004812195165
"66",66,1,"alpha",0.241004812195165
"67",67,1,"alpha",0.241004812195165
"68",68,1,"alpha",0.241004812195165
"69",69,1,"alpha",0.241004812195165
"70",70,1,"alpha",0.241004812195165
"71",71,1,"alpha",0.241004812195165
"72",72,1,"alpha",0.241004812195165
"73",73,1,"alpha",0.241004812195165
"74",74,1,"alpha",0.241004812195165
"75",75,1,"alpha",0.241004812195165
"76",76,1,"alpha",0.241004812195165
"77",77,1,"alpha",0.241004812195165
"78",78,1,"alpha",0.241004812195165
"79",79,1,"alpha",0.241004812195165
"80",80,1,"alpha",0.241004812195165
"81",81,1,"alpha",0.241004812195165
"82",82,1,"alpha",0.241004812195165
"83",83,1,"alpha",0.241004812195165
"84",84,1,"alpha",0.241004812195165
"85",85,1,"alpha",0.241004812195165
"86",86,1,"alpha",0.241004812195165
"87",87,1,"alpha",0.241004812195165
"88",88,1,"alpha",0.241004812195165
"89",89,1,"alpha",0.241004812195165
"90",90,1,"alpha",0.241004812195165
"91",91,1,"alpha",0.241004812195165
"92",92,1,"alpha",0.241004812195165
"93",93,1,"alpha",0.241004812195165
"94",94,1,"alpha",0.241004812195165
"95",95,1,"alpha",0.241004812195165
"96",96,1,"alpha",0.241004812195165
"97",97,1,"alpha",0.241004812195165
"98",98,1,"alpha",0.241004812195165
"99",99,1,"alpha",0.241004812195165
"100",100,1,"alpha",0.241004812195165
"101",101,1,"alpha",0.241004812195165
"102",102,1,"alpha",0.241004812195165
"103",103,1,"alpha",0.241004812195165
"104",104,1,"alpha",0.241004812195165
"105",105,1,"alpha",0.241004812195165
"106",106,1,"alpha",0.241004812195165
"107",107,1,"alpha",0.241004812195165
"108",108,1,"alpha",0.241004812195165
"109",109,1,"alpha",0.241004812195165
"110",110,1,"alpha",0.241004812195165
"111",111,1,"alpha",0.241004812195165
"112",112,1,"alpha",0.241004812195165
"113",113,1,"alpha",0.241004812195165
"114",114,1,"alpha",0.241004812195165
"115",115,1,"alpha",0.241004812195165
"116",116,1,"alpha",0.241004812195165
"117",117,1,"alpha",0.0754429469162092
"118",118,1,"alpha",0.0754429469162092
"119",119,1,"alpha",0.0754429469162092
"120",120,1,"alpha",0.0754429469162092
"121",121,1,"alpha",0.0754429469162092
"122",122,1,"alpha",0.0754429469162092
"123",123,1,"alpha",0.218298937663094
"124",124,1,"alpha",0.218298937663094
"125",125,1,"alpha",0.218298937663094
"126",126,1,"alpha",0.218298937663094
"127",127,1,"alpha",0.218298937663094
"128",128,1,"alpha",0.218298937663094
"129",129,1,"alpha",0.218298937663094
"130",130,1,"alpha",0.218298937663094
"131",131,1,"alpha",0.218298937663094
"132",132,1,"alpha",0.218298937663094
"133",133,1,"alpha",0.218298937663094
"134",134,1,"alpha",0.218298937663094
"135",135,1,"alpha",0.218298937663094
"136",136,1,"alpha",0.218298937663094
"137",137,1,"alpha",0.218298937663094
"138",138,1,"alpha",0.218298937663094
"139",139,1,"alpha",0.218298937663094
"140",140,1,"alpha",0.218298937663094
"141",141,1,"alpha",0.218298937663094
"142",142,1,"alpha",0.218298937663094
"143",143,1,"alpha",0.218298937663094
"144",144,1,"alpha",0.218298937663094
"145",145,1,"alpha",0.218298937663094
"146",146,1,"alpha",0.218298937663094
"147",147,1,"alpha",0.218298937663094
"148",148,1,"alpha",0.218298937663094
"149",149,1,"alpha",0.218298937663094
"150",150,1,"alpha",0.218298937663094
"151",151,1,"alpha",0.218298937663094
"152",152,1,"alpha",0.218298937663094
"153",153,1,"alpha",0.218298937663094
"154",154,1,"alpha",0.218298937663094
"155",155,1,"alpha",0.218298937663094
"156",156,1,"alpha",0.218298937663094
"157",157,1,"alpha",0.218298937663094
"158",158,1,"alpha",0.218298937663094
"159",159,1,"alpha",0.218298937663094
"160",160,1,"alpha",0.218298937663094
"161",161,1,"alpha",0.218298937663094
"162",162,1,"alpha",0.218298937663094
"163",163,1,"alpha",0.218298937663094
"164",164,1,"alpha",0.218298937663094
"165",165,1,"alpha",0.218298937663094
"166",166,1,"alpha",0.218298937663094
"167",167,1,"alpha",0.218298937663094
"168",168,1,"alpha",0.218298937663094
"169",169,1,"alpha",0.218298937663094
"170",170,1,"alpha",0.218298937663094
"171",171,1,"alpha",0.218298937663094
"172",172,1,"alpha",0.218298937663094
"173",173,1,"alpha",0.218298937663094
"174",174,1,"alpha",0.218298937663094
"175",175,1,"alpha",0.218298937663094
"176",176,1,"alpha",0.218298937663094
"177",177,1,"alpha",0.218298937663094
"178",178,1,"alpha",0.218298937663094
"179",179,1,"alpha",0.218298937663094
"180",180,1,"alpha",0.218298937663094
"181",181,1,"alpha",0.218298937663094
"182",182,1,"alpha",0.218298937663094
"183",183,1,"alpha",0.218298937663094
"184",184,1,"alpha",0.218298937663094
"185",185,1,"alpha",0.218298937663094
"186",186,1,"alpha",0.218298937663094
"187",187,1,"alpha",0.218298937663094
"188",188,1,"alpha",0.218298937663094
"189",189,1,"alpha",0.218298937663094
"190",190,1,"alpha",0.218298937663094
"191",191,1,"alpha",0.218298937663094
"192",192,1,"alpha",0.218298937663094
"193",193,1,"alpha",0.218298937663094
"194",194,1,"alpha",0.218298937663094
"195",195,1,"alpha",0.218298937663094
"196",196,1,"alpha",0.218298937663094
"197",197,1,"alpha",0.218298937663094
"198",198,1,"alpha",0.218298937663094
"199",199,1,"alpha",0.218298937663094
"200",200,1,"alpha",0.218298937663094
"201",201,1,"alpha",0.218298937663094
"202",202,1,"alpha",0.218298937663094
"203",203,1,"alpha",0.218298937663094
"204",204,1,"alpha",0.218298937663094
"205",205,1,"alpha",0.218298937663094
"206",206,1,"alpha",0.218298937663094
"207",207,1,"alpha",0.218298937663094
"208",208,1,"alpha",0.218298937663094
"209",209,1,"alpha",0.218298937663094
"210",210,1,"alpha",0.218298937663094
"211",211,1,"alpha",0.218298937663094
"212",212,1,"alpha",0.218298937663094
"213",213,1,"alpha",0.218298937663094
"214",214,1,"alpha",0.218298937663094
"215",215,1,"alpha",0.218298937663094
"216",216,1,"alpha",0.218298937663094
"217",217,1,"alpha",0.218298937663094
"218",218,1,"alpha",0.218298937663094
"219",219,1,"alpha",0.218298937663094
"220",220,1,"alpha",0.218298937663094
"221",221,1,"alpha",0.218298937663094
"222",222,1,"alpha",0.218298937663094
"223",223,1,"alpha",0.218298937663094
"224",224,1,"alpha",0.218298937663094
"225",225,1,"alpha",0.218298937663094
"226",226,1,"alpha",0.218298937663094
"227",227,1,"alpha",0.466721806654615
"228",228,1,"alpha",0.466721806654615
"229",229,1,"alpha",0.466721806654615
"230",230,1,"alpha",0.466721806654615
"231",231,1,"alpha",0.466721806654615
"232",232,1,"alpha",0.466721806654615
"233",233,1,"alpha",0.466721806654615
"234",234,1,"alpha",0.466721806654615
"235",235,1,"alpha",0.466721806654615
"236",236,1,"alpha",0.466721806654615
"237",237,1,"alpha",0.466721806654615
"238",238,1,"alpha",0.466721806654615
"239",239,1,"alpha",0.466721806654615
"240",240,1,"alpha",0.466721806654615
"241",241,1,"alpha",0.466721806654615
"242",242,1,"alpha",0.466721806654615
"243",243,1,"alpha",0.466721806654615
"244",244,1,"alpha",0.466721806654615
"245",245,1,"alpha",0.466721806654615
"246",246,1,"alpha",0.466721806654615
"247",247,1,"alpha",0.466721806654615
"248",248,1,"alpha",0.466721806654615
"249",249,1,"alpha",0.466721806654615
"250",250,1,"alpha",0.466721806654615
"251",251,1,"alpha",0.466721806654615
"252",252,1,"alpha",0.466721806654615
"253",253,1,"alpha",0.466721806654615
"254",254,1,"alpha",0.466721806654615
"255",255,1,"alpha",0.466721806654615
"256",256,1,"alpha",0.466721806654615
"257",257,1,"alpha",0.466721806654615
"258",258,1,"alpha",0.466721806654615
"259",259,1,"alpha",0.466721806654615
"260",260,1,"alpha",0.466721806654615
"261",261,1,"alpha",0.466721806654615
"262",262,1,"alpha",0.466721806654615
"263",263,1,"alpha",0.466721806654615
"264",264,1,"alpha",0.466721806654615
"265",265,1,"alpha",0.466721806654615
"266",266,1,"alpha",0.466721806654615
"267",267,1,"alpha",0.46136353660501
"268",268,1,"alpha",0.46136353660501
"269",269,1,"alpha",0.46136353660501
"270",270,1,"alpha",0.46136353660501
"271",271,1,"alpha",0.46136353660501
"272",272,1,"alpha",0.46136353660501
"273",273,1,"alpha",0.239275227985377
"274",274,1,"alpha",0.239275227985377
"275",275,1,"alpha",0.239275227985377
"276",276,1,"alpha",0.239275227985377
"277",277,1,"alpha",0.2225537315595
"278",278,1,"alpha",0.2225537315595
"279",279,1,"alpha",0.2225537315595
"280",280,1,"alpha",0.2225537315595
"281",281,1,"alpha",0.2225537315595
"282",282,1,"alpha",0.2225537315595
"283",283,1,"alpha",0.2225537315595
"284",284,1,"alpha",0.2225537315595
"285",285,1,"alpha",0.2225537315595
"286",286,1,"alpha",0.2225537315595
"287",287,1,"alpha",0.2225537315595
"288",288,1,"alpha",0.2225537315595
"289",289,1,"alpha",0.483288224796667
"290",290,1,"alpha",0.483288224796667
"291",291,1,"alpha",0.483288224796667
"292",292,1,"alpha",0.483288224796667
"293",293,1,"alpha",0.483288224796667
"294",294,1,"alpha",0.483288224796667
"295",295,1,"alpha",0.483288224796667
"296",296,1,"alpha",0.483288224796667
"297",297,1,"alpha",0.483288224796667
"298",298,1,"alpha",0.483288224796667
"299",299,1,"alpha",0.483288224796667
"300",300,1,"alpha",0.483288224796667
"301",301,1,"alpha",0.483288224796667
"302",302,1,"alpha",0.483288224796667
"303",303,1,"alpha",0.483288224796667
"304",304,1,"alpha",0.483288224796667
"305",305,1,"alpha",0.452817673954562
"306",306,1,"alpha",0.452817673954562
"307",307,1,"alpha",0.452817673954562
"308",308,1,"alpha",0.452817673954562
"309",309,1,"alpha",0.452817673954562
"310",310,1,"alpha",0.452817673954562
"311",311,1,"alpha",0.452817673954562
"312",312,1,"alpha",0.452817673954562
"313",313,1,"alpha",0.452817673954562
"314",314,1,"alpha",0.452817673954562
"315",315,1,"alpha",0.452817673954562
"316",316,1,"alpha",0.452817673954562
"317",317,1,"alpha",0.452817673954562
"318",318,1,"alpha",0.452817673954562
"319",319,1,"alpha",0.452817673954562
"320",320,1,"alpha",0.452817673954562
"321",321,1,"alpha",0.452817673954562
"322",322,1,"alpha",0.452817673954562
"323",323,1,"alpha",0.452817673954562
"324",324,1,"alpha",0.452817673954562
"325",325,1,"alpha",0.452817673954562
"326",326,1,"alpha",0.452817673954562
"327",327,1,"alpha",0.452817673954562
"328",328,1,"alpha",0.452817673954562
"329",329,1,"alpha",0.452817673954562
"330",330,1,"alpha",0.452817673954562
"331",331,1,"alpha",0.452817673954562
"332",332,1,"alpha",0.452817673954562
"333",333,1,"alpha",0.452817673954562
"334",334,1,"alpha",0.452817673954562
"335",335,1,"alpha",0.452817673954562
"336",336,1,"alpha",0.452817673954562
"337",337,1,"alpha",0.452817673954562
"338",338,1,"alpha",0.452817673954562
"339",339,1,"alpha",0.452817673954562
"340",340,1,"alpha",0.452817673954562
"341",341,1,"alpha",0.452817673954562
"342",342,1,"alpha",0.452817673954562
"343",343,1,"alpha",0.452817673954562
"344",344,1,"alpha",0.452817673954562
"345",345,1,"alpha",0.452817673954562
"346",346,1,"alpha",0.452817673954562
"347",347,1,"alpha",0.452817673954562
"348",348,1,"alpha",0.452817673954562
"349",349,1,"alpha",0.452817673954562
"350",350,1,"alpha",0.452817673954562
"351",351,1,"alpha",0.452817673954562
"352",352,1,"alpha",0.452817673954562
"353",353,1,"alpha",0.452817673954562
"354",354,1,"alpha",0.452817673954562
"355",355,1,"alpha",0.452817673954562
"356",356,1,"alpha",0.452817673954562
"357",357,1,"alpha",0.452817673954562
"358",358,1,"alpha",0.452817673954562
"359",359,1,"alpha",0.452817673954562
"360",360,1,"alpha",0.452817673954562
"361",361,1,"alpha",0.452817673954562
"362",362,1,"alpha",0.452817673954562
"363",363,1,"alpha",0.452817673954562
"364",364,1,"alpha",0.452817673954562
"365",365,1,"alpha",0.452817673954562
"366",366,1,"alpha",0.452817673954562
"367",367,1,"alpha",0.452817673954562
"368",368,1,"alpha",0.452817673954562
"369",369,1,"alpha",0.452817673954562
"370",370,1,"alpha",0.452817673954562
"371",371,1,"alpha",0.452817673954562
"372",372,1,"alpha",0.452817673954562
"373",373,1,"alpha",0.452817673954562
"374",374,1,"alpha",0.452817673954562
"375",375,1,"alpha",0.452817673954562
"376",376,1,"alpha",0.452817673954562
"377",377,1,"alpha",0.452817673954562
"378",378,1,"alpha",0.452817673954562
"379",379,1,"alpha",0.452817673954562
"380",380,1,"alpha",0.452817673954562
"381",381,1,"alpha",0.452817673954562
"382",382,1,"alpha",0.452817673954562
"383",383,1,"alpha",0.452817673954562
"384",384,1,"alpha",0.452817673954562
"385",385,1,"alpha",0.452817673954562
"386",386,1,"alpha",0.452817673954562
"387",387,1,"alpha",0.452817673954562
"388",388,1,"alpha",0.452817673954562
"389",389,1,"alpha",0.452817673954562
"390",390,1,"alpha",0.452817673954562
"391",391,1,"alpha",0.452817673954562
"392",392,1,"alpha",0.452817673954562
"393",393,1,"alpha",0.452817673954562
"394",394,1,"alpha",0.452817673954562
"395",395,1,"alpha",0.452817673954562
"396",396,1,"alpha",0.452817673954562
"397",397,1,"alpha",0.452817673954562
"398",398,1,"alpha",0.452817673954562
"399",399,1,"alpha",0.452817673954562
"400",400,1,"alpha",0.452817673954562
"401",401,1,"alpha",0.452817673954562
"402",402,1,"alpha",0.452817673954562
"403",403,1,"alpha",0.452817673954562
"404",404,1,"alpha",0.452817673954562
"405",405,1,"alpha",0.452817673954562
"406",406,1,"alpha",0.452817673954562
"407",407,1,"alpha",0.452817673954562
"408",408,1,"alpha",0.452817673954562
"409",409,1,"alpha",0.452817673954562
"410",410,1,"alpha",0.452817673954562
"411",411,1,"alpha",0.452817673954562
"412",412,1,"alpha",0.452817673954562
"413",413,1,"alpha",0.452817673954562
"414",414,1,"alpha",0.452817673954562
"415",415,1,"alpha",0.452817673954562
"416",416,1,"alpha",0.452817673954562
"417",417,1,"alpha",0.452817673954562
"418",418,1,"alpha",0.452817673954562
"419",419,1,"alpha",0.0693213224885341
"420",420,1,"alpha",0.0693213224885341
"421",421,1,"alpha",0.0693213224885341
"422",422,1,"alpha",0.377641523536205
"423",423,1,"alpha",0.377641523536205
"424",424,1,"alpha",0.377641523536205
"425",425,1,"alpha",0.377641523536205
"426",426,1,"alpha",0.377641523536205
"427",427,1,"alpha",0.377641523536205
"428",428,1,"alpha",0.377641523536205
"429",429,1,"alpha",0.377641523536205
"430",430,1,"alpha",0.377641523536205
"431",431,1,"alpha",0.377641523536205
"432",432,1,"alpha",0.377641523536205
"433",433,1,"alpha",0.377641523536205
"434",434,1,"alpha",0.377641523536205
