known,structure,utterance,valence,blue,red,response
none,conjunctive,blue,pleasant,0.61452693224948,0.38547306775052004,1
none,conjunctive,blue,neutral,0.06630920328466455,0.9336907967153355,5
none,conjunctive,blue,unpleasant,0.0031537174152637183,0.9968462825847363,6
none,disjunctive,blue,pleasant,0.9968462825847363,0.0031537174152637183,1
none,disjunctive,blue,neutral,0.9336907967153355,0.06630920328466455,3
none,disjunctive,blue,unpleasant,0.38547306775052004,0.61452693224948,2
none,conjunctive,blue,pleasant,0.61452693224948,0.38547306775052004,3
none,conjunctive,blue,neutral,0.06630920328466455,0.9336907967153355,5
none,conjunctive,blue,unpleasant,0.0031537174152637183,0.9968462825847363,5
none,disjunctive,blue,pleasant,0.9968462825847363,0.0031537174152637183,1
none,disjunctive,blue,neutral,0.9336907967153355,0.06630920328466455,1
none,disjunctive,blue,unpleasant,0.38547306775052004,0.61452693224948,3
none,conjunctive,blue,pleasant,0.61452693224948,0.38547306775052004,3
none,conjunctive,blue,neutral,0.06630920328466455,0.9336907967153355,3
none,conjunctive,blue,unpleasant,0.0031537174152637183,0.9968462825847363,5
none,disjunctive,blue,pleasant,0.9968462825847363,0.0031537174152637183,1
none,disjunctive,blue,neutral,0.9336907967153355,0.06630920328466455,3
none,disjunctive,blue,unpleasant,0.38547306775052004,0.61452693224948,3
none,conjunctive,blue,pleasant,0.61452693224948,0.38547306775052004,6
none,conjunctive,blue,neutral,0.06630920328466455,0.9336907967153355,3
none,conjunctive,blue,unpleasant,0.0031537174152637183,0.9968462825847363,6
none,disjunctive,blue,pleasant,0.9968462825847363,0.0031537174152637183,1
none,disjunctive,blue,neutral,0.9336907967153355,0.06630920328466455,2
none,disjunctive,blue,unpleasant,0.38547306775052004,0.61452693224948,3
none,conjunctive,blue,pleasant,0.61452693224948,0.38547306775052004,3
none,conjunctive,blue,neutral,0.06630920328466455,0.9336907967153355,6
none,conjunctive,blue,unpleasant,0.0031537174152637183,0.9968462825847363,1
none,disjunctive,blue,pleasant,0.9968462825847363,0.0031537174152637183,1
none,disjunctive,blue,neutral,0.9336907967153355,0.06630920328466455,2
none,disjunctive,blue,unpleasant,0.38547306775052004,0.61452693224948,5
none,conjunctive,blue,pleasant,0.61452693224948,0.38547306775052004,3
none,conjunctive,blue,neutral,0.06630920328466455,0.9336907967153355,7
none,conjunctive,blue,unpleasant,0.0031537174152637183,0.9968462825847363,1
none,disjunctive,blue,pleasant,0.9968462825847363,0.0031537174152637183,1
none,disjunctive,blue,neutral,0.9336907967153355,0.06630920328466455,5
none,disjunctive,blue,unpleasant,0.38547306775052004,0.61452693224948,3
none,conjunctive,blue,pleasant,0.61452693224948,0.38547306775052004,4
none,conjunctive,blue,neutral,0.06630920328466455,0.9336907967153355,3
none,conjunctive,blue,unpleasant,0.0031537174152637183,0.9968462825847363,3
none,disjunctive,blue,pleasant,0.9968462825847363,0.0031537174152637183,1
